Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws,Birth Year,Starting Age,Total Bouts,Win %
60,Randolph Turpin,middle,1946,18,"Leamington Spa, Warwickshire, United Kingdom",66,8,1,1928,18,75,0.88
61,Ismael Laguna,light,1960,11,"Colon City, Panama",65,9,1,1943,17,75,0.866666667
62,Tommy Gibbons,light heavy,1911,14,"Saint Paul, Minnesota, USA",97,5,3,1891,20,105,0.923809524
63,Willie Pep,feather,1940,26,"Rocky Hill, Connecticut, USA",229,11,1,1922,18,241,0.950207469
64,Kostya Tszyu,super light,1992,13,"Sydney, New South Wales, Australia",31,2,0,1969,23,33,0.939393939
65,Sammy Mandell,light,1919,15,"Rockford, Illinois, USA",148,25,16,1904,15,189,0.783068783
66,Bobo Olson,middle,1944,22,"Honolulu, Hawaii, USA",97,16,2,1928,16,115,0.843478261
67,Dick Tiger,middle,1952,18,"Amaigbo, Nigeria",60,19,3,1929,23,82,0.731707317
68,Wladimir Klitschko,heavy,1996,21,"Kyiv, Ukraine",64,5,0,1976,20,69,0.927536232
69,Freddie Dawson,welter,1943,11,"Chicago, Illinois, USA",103,14,4,1924,19,121,0.851239669
70,Marcel Cerdan,middle,1934,15,"Paris, Paris, France",111,4,0,1916,18,115,0.965217391
71,Kid Gavilan,welter,1943,15,"Havana, Cuba",108,30,5,1926,17,143,0.755244755
72,Juan Manuel Marquez,feather,1993,21,"Mexico City, Distrito Federal, Mexico",56,7,1,1973,20,64,0.875
73,Bruno Arcari,super light,1964,14,"Genoa, Liguria, Italy",70,2,1,1942,22,73,0.95890411
74,Lou Ambers,light,1932,9,"Herkimer, New York, USA",91,8,7,1913,19,106,0.858490566
75,Packey McFarland,light,1904,11,"Chicago, Illinois, USA",106,0,6,1888,16,112,0.946428571
76,Dmitrii Bivol,light heavy,2014,11,"Indio, California, USA",24,1,0,1990,24,25,0.96
77,Tommy Loughran,light heavy,1919,18,"Philadelphia, Pennsylvania, USA",124,33,12,1902,17,169,0.733727811
78,Gene Fullmer,middle,1951,12,"West Jordan, Utah, USA",55,6,3,1931,20,64,0.859375
79,Freddie Welsh,light,1905,17,"New York, New York, USA",121,29,17,1886,19,167,0.724550898
80,Jake LaMotta,middle,1941,13,"The Bronx, New York, USA",83,19,4,1922,19,106,0.783018868
81,Johnny Kilbane,feather,1907,16,"Cleveland, Ohio, USA",111,17,14,1889,18,142,0.781690141
82,Jack Dempsey,heavy,1914,13,"Salt Lake City, Utah, USA",58,7,8,1895,19,73,0.794520548
83,Jack 'Kid' Berg,light,1924,21,"Whitechapel, London, United Kingdom",157,26,9,1909,15,192,0.817708333
84,Nino Benvenuti,middle,1961,10,"Trieste, Friuli-Venezia Giulia, Italy",82,7,1,1938,23,90,0.911111111
85,Lockport Jimmy,welter,1908,13,"Buffalo, New York, USA",95,20,29,1896,12,144,0.659722222
86,Khaosai Galaxy,super fly,1980,11,"Bangkok, Thailand",47,1,0,1959,21,48,0.979166667
87,Jimmy Bivins,light heavy,1940,15,"Cleveland, Ohio, USA",86,25,1,1919,21,112,0.767857143
88,Vicente Saldivar,feather,1961,12,"Mexico City, Distrito Federal, Mexico",37,3,0,1943,18,40,0.925
89,Evander Holyfield,heavy,1984,27,"Atlanta, Georgia, USA",44,10,2,1962,22,56,0.785714286
90,Louis 'Kid' Kaplan,feather,1918,15,"Meriden, Connecticut, USA",123,23,15,1901,17,161,0.763975155
91,Marco Antonio,super bantam,1989,22,"Guadalajara, Jalisco, Mexico",67,7,0,1974,15,74,0.905405405
92,Larry Holmes,heavy,1973,29,"Easton, Pennsylvania, USA",69,6,0,1949,24,75,0.92
93,Jeff Smith,middle,1910,17,"Levittown, New Jersey, USA",140,35,6,1891,19,181,0.773480663
94,Carl Froch,super middle,2002,12,"Nottingham, Nottinghamshire, United Kingdom",33,2,0,1977,25,35,0.942857143
95,Gervonta Davis,light,2013,12,"Baltimore, Maryland, USA",30,0,1,1994,19,31,0.967741935
96,Vitali Klitschko,heavy,1996,16,"Kyiv, Ukraine",45,2,0,1971,25,47,0.957446809
97,Ruben Olivares,bantam,1965,23,"Mexico City, Distrito Federal, Mexico",89,13,3,1947,18,105,0.847619048
98,Sammy Angott,light,1935,15,"Cleveland, Ohio, USA",94,29,8,1915,20,131,0.717557252
99,Lloyd Marshall,middle,1936,15,"Cleveland, Ohio, USA",71,25,4,1914,22,100,0.71
100,Freddie Miller,feather,1927,13,"Cincinnati, Ohio, USA",213,30,7,1911,16,250,0.852
101,Sam Langford,heavy,1902,24,"Boston, Massachusetts, USA",209,44,53,1886,16,306,0.683006536
102,Shane Mosley,welter,1993,23,"Pomona, California, USA",49,10,1,1971,22,60,0.816666667
103,Freddie Steele,middle,1926,15,"Tacoma, Washington, USA",125,5,11,1912,14,141,0.886524823
104,Billy Conn,light heavy,1934,14,"Pittsburgh, Pennsylvania, USA",63,11,1,1917,17,75,0.84
105,Fred Apostoli,middle,1934,14,"San Francisco, California, USA",61,10,1,1913,21,72,0.847222222
106,Pete Latzo,welter,1919,15,"Taylor, Pennsylvania, USA",100,44,4,1902,17,148,0.675675676
