Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws
81,Johnny Kilbane,feather,1907,16,"Cleveland, Ohio, USA",111,17,14
82,Jack Dempsey,heavy,1914,13,"Salt Lake City, Utah, USA",58,7,8
83,Jack 'Kid' Berg,light,1924,21,"Whitechapel, London, United Kingdom",157,26,9
84,Nino Benvenuti,middle,1961,10,"Trieste, Friuli-Venezia Giulia, Italy",82,7,1
85,Lockport Jimmy,welter,1908,13,"Buffalo, New York, USA",95,20,29
86,Khaosai Galaxy,super fly,1980,11,"Bangkok, Thailand",47,1,0
87,Jimmy Bivins,light heavy,1940,15,"Cleveland, Ohio, USA",86,25,1
88,Vicente Saldivar,feather,1961,12,"Mexico City, Distrito Federal, Mexico",37,3,0
89,Evander Holyfield,heavy,1984,27,"Atlanta, Georgia, USA",44,10,2
90,Louis 'Kid' Kaplan,feather,1918,15,"Meriden, Connecticut, USA",123,23,15
91,Marco Antonio,super bantam,1989,22,"Guadalajara, Jalisco, Mexico",67,7,0
92,Larry Holmes,heavy,1973,29,"Easton, Pennsylvania, USA",69,6,0
93,Jeff Smith,middle,1910,17,"Levittown, New Jersey, USA",140,35,6
94,Carl Froch,super middle,2002,12,"Nottingham, Nottinghamshire, United Kingdom",33,2,0
95,Gervonta Davis,light,2013,12,"Baltimore, Maryland, USA",30,0,1
96,Vitali Klitschko,heavy,1996,16,"Kyiv, Ukraine",45,2,0
97,Ruben Olivares,bantam,1965,23,"Mexico City, Distrito Federal, Mexico",89,13,3
98,Sammy Angott,light,1935,15,"Cleveland, Ohio, USA",94,29,8
99,Lloyd Marshall,middle,1936,15,"Cleveland, Ohio, USA",71,25,4
100,Freddie Miller,feather,1927,13,"Cincinnati, Ohio, USA",213,30,7
101,Sam Langford,heavy,1902,24,"Boston, Massachusetts, USA",209,44,53
102,Shane Mosley,welter,1993,23,"Pomona, California, USA",49,10,1
103,Freddie Steele,middle,1926,15,"Tacoma, Washington, USA",125,5,11
104,Billy Conn,light heavy,1934,14,"Pittsburgh, Pennsylvania, USA",63,11,1
105,Fred Apostoli,middle,1934,14,"San Francisco, California, USA",61,10,1
106,Pete Latzo,welter,1919,15,"Taylor, Pennsylvania, USA",100,44,4
107,Billy Petrolle,welter,1922,12,"Duluth, Minnesota, USA",122,26,15
108,Harold Johnson,light heavy,1946,25,"Manayunk, Pennsylvania, USA",76,11,0
109,Jersey Joe Walcott,heavy,1930,23,"Camden, New Jersey, USA",49,20,1
110,Joe Brown,light,1941,29,"Baton Rouge, Louisiana, USA",122,47,14
111,Beau Jack,light,1939,16,"Augusta, Georgia, USA",91,24,5
112,Michael Nunn,middle,1984,18,"Davenport, Iowa, USA",58,4,0
113,Ceferino Garcia,middle,1923,22,"Los Angeles, California, USA",121,30,14
114,Dave Sands,middle,1941,11,"Newcastle, New South Wales, Australia",87,10,1
115,Johnny Dundee,light,1910,22,"New York, New York, USA",200,75,46
116,Erik Morales,super bantam,1993,19,"Tijuana, Baja California, Mexico",52,9,0
117,Sonny Liston,heavy,1953,17,"Saint Louis, Missouri, USA",50,4,0
118,Eddie Perkins,super light,1956,19,"Chicago, Illinois, USA",74,20,3
119,Spider Webb,middle,1953,8,"Chicago, Illinois, USA",34,6,0
120,Joe Frazier,heavy,1965,16,"Philadelphia, Pennsylvania, USA",32,4,1
121,Nonito Donaire,bantam,2001,22,"Las Vegas, Nevada, USA",42,8,0
122,Wilfred Benitez,super welter,1973,17,"San Juan, Puerto Rico",53,8,1
123,Eddie Booker,middle,1935,9,"San Jose, California, USA",68,5,8
124,Miguel Cotto,welter,2001,16,"Caguas, Puerto Rico",41,6,0
125,Michael Spinks,light heavy,1977,11,"Saint Louis, Missouri, USA",31,1,0
126,Dave Charnley,light,1954,10,"Dartford, Kent, United Kingdom",48,12,1
127,Tommy Freeman,welter,1920,18,"Little Rock, Arkansas, USA",191,20,22
128,Johnny Indrisano,welter,1923,11,"Boston, Massachusetts, USA",51,9,3
129,Sandy Saddler,feather,1944,12,"New York, New York, USA",145,16,2
130,Jack Dillon,light heavy,1908,15,"Frankfort, Indiana, USA",190,32,28
131,Donald Curry,welter,1980,17,"Fort Worth, Texas, USA",34,6,0
132,Fritzie Zivic,welter,1931,18,"Pittsburgh, Pennsylvania, USA",158,65,10
133,Jock Malone,middle,1916,15,"Saint Paul, Minnesota, USA",134,41,13
134,Carlos Hernandez,super light,1959,12,"Caracas, Venezuela",60,12,4
135,Hector Camacho,light,1980,30,"New York, New York, USA",79,6,3
136,Azumah Nelson,super feather,1979,29,"Accra, Ghana",38,6,2
137,Artur Beterbiev,light heavy,2013,12,"Montreal, Quebec, Canada",21,1,0
138,Errol Spence Jr,welter,2012,11,"Desoto, Texas, USA",28,1,0
139,Sid Terris,light,1922,9,"New York, New York, USA",95,13,5
140,Billy Miske,heavy,1913,10,"Saint Paul, Minnesota, USA",73,14,16
141,Joey Giardello,middle,1948,19,"Philadelphia, Pennsylvania, USA",97,26,8
142,Oleksandr Usyk*,heavy,2013,11,"Oxnard, California, USA",23,0,0
143,Ricky Hatton,super light,1997,15,"Manchester, Lancashire, United Kingdom",45,3,0
144,Jack Delaney,light heavy,1919,13,"Bridgeport, Connecticut, USA",74,11,2
145,Sandro Mazzinghi,super welter,1961,17,"Cascine di Buti, Toscana, Italy",64,3,0
146,Davey Moore,feather,1953,10,"Springfield, Ohio, USA",59,7,1
147,George Foreman,heavy,1969,28,"Houston, Texas, USA",76,5,0
148,Cocoa Kid,welter,1929,19,"New Haven, Connecticut, USA",179,58,11
149,Salvador Sanchez,feather,1975,7,"Tianguistenco, México, Mexico",44,1,1
150,Art Aragon,light,1944,16,"Los Angeles, California, USA",90,20,6
151,John Henry Lewis,light heavy,1929,10,"Phoenix, Arizona, USA",101,11,5
152,Naseem Hamed,feather,1992,10,"Sheffield, Yorkshire, United Kingdom",36,1,0
153,Bryan Downey,middle,1914,12,"Columbus, Ohio, USA",92,29,18
154,Jimmy Clabby,middle,1906,17,"Hammond, Indiana, USA",100,25,31
155,Bob Montgomery,light,1938,12,"Philadelphia, Pennsylvania, USA",75,19,3
156,Terry Norris,super welter,1986,12,"Campo, California, USA",47,9,0
157,Ralph Dupas,super welter,1950,16,"New Orleans, Louisiana, USA",106,23,6
158,Joey Maxim,light heavy,1941,17,"Cleveland, Ohio, USA",83,29,4
159,Wilfredo Gomez,super bantam,1974,15,"Las Monjas, Puerto Rico",44,3,1
160,Young Stribling,heavy,1921,12,"Macon, Georgia, USA",256,16,17
161,Teddy Yarosz,middle,1929,13,"Monaca, Pennsylvania, USA",106,18,3
162,Junto Nakatani*,bantam,2015,10,"Sagamihara, Kanagawa, Japan",30,0,0
